seg_idx,circuitid,substation,division,mid_lat,mid_lon
1350,082031102,08203,De Anza,37.38603193159343,-122.07087616561171
1351,082031103,08203,De Anza,37.39113834026891,-122.06413215342552
1352,082031104,08203,De Anza,37.40543321976709,-122.10946228988698
1353,082031105,08203,De Anza,37.39268653769146,-122.10830244655061
1354,082031106,08203,De Anza,37.38195000785374,-122.0806990294393
1355,082031107,08203,De Anza,37.36142431779171,-122.09392718669362
1356,082031108,08203,De Anza,37.3732124223507,-122.04576684661322
1357,082031109,08203,De Anza,37.35682654224925,-122.06373748281554
1358,082031110,08203,De Anza,37.36812290410944,-122.0507534769679
1359,082031111,08203,De Anza,37.380197397049926,-122.05961659453062
1360,082031112,08203,De Anza,37.39147139061145,-122.05469883798045
1361,082031113,08203,De Anza,37.390946630753724,-122.07952650202292
1362,082031114,08203,De Anza,37.37243221440404,-122.06737187602937
1363,082160401,08216,De Anza,37.37910057321854,-122.10277884410151
1364,082160403,08216,De Anza,37.3741670468384,-122.09556321498242
1365,082161101,08216,De Anza,37.38599769324846,-122.1309502011318
1366,082161102,08216,De Anza,37.360603238197754,-122.13728683292828
1367,082191103,08219,San Jose,37.35955869442327,-121.87837748854123
1368,082191104,08219,San Jose,37.351833961831325,-121.86846494899798
1369,082191105,08219,San Jose,37.36882832126539,-121.8609397060452
1370,082191106,08219,San Jose,37.342917370015634,-121.86505499166121
1371,082241103,08224,De Anza,37.382338642463125,-122.10265239987535
1372,082241104,08224,De Anza,37.38425311340368,-122.12060869285811
1373,082241105,08224,De Anza,37.39973073423712,-122.11031312445085
1374,082241106,08224,De Anza,37.392209696192644,-122.12049515776226
1375,082241107,08224,De Anza,37.39973638748038,-122.1158472706623
1376,082250403,08225,San Jose,37.32631248898302,-121.91719755104943
1377,082250404,08225,San Jose,37.3356904931645,-121.89214061503797
1378,082250405,08225,San Jose,37.33224939701798,-121.8937333058184
1379,082250407,08225,San Jose,37.32632252177966,-121.9092971020801
1380,082250408,08225,San Jose,37.31673537521437,-121.88456727007109
1381,082250410,08225,San Jose,37.32162964377033,-121.89414295520331
1382,082251109,08225,San Jose,37.329224201994265,-121.8999971409751
1383,082251110,08225,San Jose,37.322631784343294,-121.9267318877821
1384,082251111,08225,San Jose,37.325381654470654,-121.89581327659982
1385,082251112,08225,San Jose,37.30565461052335,-121.90694578189272
1386,082251113,08225,San Jose,37.33169914967801,-121.89459101419632
1387,082261101,08226,San Jose,37.3337612731287,-121.89195928224129
1388,082261102,08226,San Jose,37.33962010349438,-121.89622241509805
1389,082261103,08226,San Jose,37.33180297394223,-121.8889613678805
1390,082261104,08226,San Jose,37.343712153753884,-121.90821051310117
1391,082261105,08226,San Jose,37.35672848275976,-121.8827885407844
1392,082261106,08226,San Jose,37.335770022069426,-121.90228941205558
1393,082261107,08226,San Jose,37.341934778942644,-121.88778382855784
1394,082261108,08226,San Jose,37.36495770712701,-121.90414471165812
1395,082261109,08226,San Jose,37.350657568859035,-121.90491966144694
1396,082261110,08226,San Jose,37.32992419150525,-121.93188092654074
1397,082261111,08226,San Jose,37.33320958898154,-121.8963325590275
1398,082261112,08226,San Jose,37.35039160517505,-121.89258479526187
1399,082261113,08226,San Jose,37.335982287732264,-121.89594680347028
1400,082261114,08226,San Jose,37.342902881737885,-121.89567923961674
1401,082261115,08226,San Jose,37.33132202793918,-121.90533124460589
1402,082261116,08226,San Jose,37.34518560611461,-121.9160726578192
1403,082261117,08226,San Jose,37.34122880973143,-121.90292928695881
1404,082311101,08231,San Jose,37.274415651788054,-121.90174313690362
1405,082311102,08231,San Jose,37.28717562872875,-121.8928531188265
1406,082311110,08231,San Jose,37.26760511496111,-121.89704053667138
1407,082311111,08231,San Jose,37.27308482579835,-121.88069761777201
1408,082342101,08234,San Jose,37.40861362831766,-121.94382956024091
1409,082342102,08234,San Jose,37.417592580888986,-121.94998453682629
1410,082342106,08234,San Jose,37.41252641067761,-121.93616575003125
1411,082342107,08234,San Jose,37.412835000384696,-121.93173767614755
1412,082342108,08234,San Jose,37.40650486546167,-121.92808402506995
1413,082462106,08246,San Jose,37.4130870432478,-121.94843602707007
1414,082462107,08246,San Jose,37.410327632061936,-121.95393729458932
1415,082462109,08246,San Jose,37.42130322160254,-121.93412307597919
